Punto vendita,Data,Codice,Nome,Quantità,Prezzo,Totale
CAFEZAL_PREMUDA,2023-12-31 14:57:52,2003,FLAT WHITE,1,3.8,3.8
CAFEZAL_PREMUDA,2023-12-31 14:57:52,2223,THE DAMMAN,1,5,5
CAFEZAL_PREMUDA,2023-12-31 14:57:52,2270,COPERTO,1,1.5,1.5
CAFEZAL_PREMUDA,2023-12-31 14:57:52,2271,SERVIZIO,3,0.5,1.5
CAFEZAL_PREMUDA,2023-12-31 14:57:52,2283,BOTTIGLIA ACQUA,2,1.5,3
CAFEZAL_PREMUDA,2023-12-31 14:57:52,5316,SALMON AVO TOAST,1,9.5,9.5
CAFEZAL_PREMUDA,2023-12-31 14:57:52,1002,CAPPUCCINO OAT,1,2.5,2.5
CAFEZAL_PREMUDA,2023-12-31 14:57:52,2001,CAPPUCCINO,1,2,2
CAFEZAL_SOLFERINO,2023-12-31 14:54:15,2001,CAPPUCCINO,2,2.5,5
CAFEZAL_PREMUDA,2023-12-31 14:48:58,2208,SPREMUTA MISTA,1,4.5,4.5
CAFEZAL_PREMUDA,2023-12-31 14:48:58,2271,SERVIZIO,2,0.5,1
CAFEZAL_PREMUDA,2023-12-31 14:48:58,2022,CAFFE LATTE,1,4,4
CAFEZAL_PREMUDA,2023-12-31 14:46:20,2014,GARIBALDI,1,1.5,1.5
CAFEZAL_PREMUDA,2023-12-31 14:35:37,5324,GRILLED CHEESE SANDWICH,1,9,9
CAFEZAL_PREMUDA,2023-12-31 14:35:37,2001,CAPPUCCINO,1,2,2
CAFEZAL_PREMUDA,2023-12-31 14:35:37,5324,GRILLED CHEESE SANDWICH,1,10,10
CAFEZAL_PREMUDA,2023-12-31 14:35:37,5394,PEACE TRAIN,1,6,6
CAFEZAL_PREMUDA,2023-12-31 14:35:37,2270,COPERTO,4,1.5,6
CAFEZAL_PREMUDA,2023-12-31 14:35:37,5324,GRILLED CHEESE SANDWICH,1,7,7
CAFEZAL_PREMUDA,2023-12-31 14:35:37,2022,CAFFE LATTE,1,4,4
CAFEZAL_PREMUDA,2023-12-31 14:35:37,2092,"ACQUA NATURALE 0,5L MICROFILTER",1,1.8,1.8
CAFEZAL_PREMUDA,2023-12-31 14:35:37,5319,AVO SALAD,2,9,18
CAFEZAL_PREMUDA,2023-12-31 14:35:37,1002,CAPPUCCINO OAT,2,2.5,5
CAFEZAL_PREMUDA,2023-12-31 14:35:37,5316,SALMON AVO TOAST,1,9.5,9.5
CAFEZAL_PREMUDA,2023-12-31 14:33:22,2271,SERVIZIO,1,0.5,0.5
CAFEZAL_PREMUDA,2023-12-31 14:33:22,2001,CAPPUCCINO,1,2,2
CAFEZAL_PREMUDA,2023-12-31 14:28:13,2093,"ACQUA GASATA 0,5L MICROFILTER",1,1.8,1.8
CAFEZAL_PREMUDA,2023-12-31 14:28:13,2015,GARIBALDI DOPPIO,1,2.5,2.5
CAFEZAL_PREMUDA,2023-12-31 14:28:13,5314,CAFEZAL TOAST,1,7,7
CAFEZAL_PREMUDA,2023-12-31 14:28:13,2271,SERVIZIO,2,0.5,1
CAFEZAL_PREMUDA,2023-12-31 14:28:13,2223,THE DAMMAN,1,5,5
CAFEZAL_PREMUDA,2023-12-31 14:19:02,2271,SERVIZIO,1,0.5,0.5
CAFEZAL_PREMUDA,2023-12-31 14:19:02,2014,GARIBALDI,1,1.5,1.5
CAFEZAL_SOLFERINO,2023-12-31 14:17:57,5394,PEACE TRAIN,1,6,6
CAFEZAL_SOLFERINO,2023-12-31 14:15:44,1014,GARIBALDI,1,1.5,1.5
CAFEZAL_SOLFERINO,2023-12-31 14:15:44,1002,CAPPUCCINO OAT,1,3,3
CAFEZAL_PREMUDA,2023-12-31 14:04:07,2014,GARIBALDI,2,1.5,3
CAFEZAL_PREMUDA,2023-12-31 14:04:07,2056,GARIBALDI 250GR,2,12.9,25.8
CAFEZAL_PREMUDA,2023-12-31 14:04:07,2057,ATLANTICO 250G,1,14,14
CAFEZAL_PREMUDA,2023-12-31 14:04:07,5313,MIGNON,2,2,4
CAFEZAL_SOLFERINO,2023-12-31 13:55:37,1014,GARIBALDI,2,1.5,3
CAFEZAL_SOLFERINO,2023-12-31 13:54:24,1329,BOTTIGLIA ACQUA,1,1.8,1.8
CAFEZAL_SOLFERINO,2023-12-31 13:54:24,1018,BRASILE DOPPIO,1,3,3
CAFEZAL_PREMUDA,2023-12-31 13:53:23,5391,SIRACUSA 250GR,1,22,22
CAFEZAL_SOLFERINO,2023-12-31 13:52:55,1055,BLACK LION 250GR,1,15.5,15.5
CAFEZAL_SOLFERINO,2023-12-31 13:52:55,5341,CASTANHA 250GR,1,16,16
CAFEZAL_PREMUDA,2023-12-31 13:48:27,5330,CHEESECAKE MATE,1,5,5
CAFEZAL_PREMUDA,2023-12-31 13:48:27,2198,APEROL SPRITZ,2,8,16
CAFEZAL_PREMUDA,2023-12-31 13:48:27,2022,CAFFE LATTE,2,4,8
CAFEZAL_PREMUDA,2023-12-31 13:48:27,5315,SCRAMBLED EGG TOAST,1,7,7
CAFEZAL_PREMUDA,2023-12-31 13:48:27,5324,GRILLED CHEESE SANDWICH,1,7,7
CAFEZAL_PREMUDA,2023-12-31 13:48:27,2270,COPERTO,2,1.5,3
CAFEZAL_PREMUDA,2023-12-31 13:43:50,5313,MIGNON,1,2,2
CAFEZAL_PREMUDA,2023-12-31 13:43:50,5331,BRIOCHE SPECIALE,1,3,3
CAFEZAL_PREMUDA,2023-12-31 13:43:50,2001,CAPPUCCINO,1,2,2
CAFEZAL_PREMUDA,2023-12-31 13:43:50,2014,GARIBALDI,1,3,3
CAFEZAL_PREMUDA,2023-12-31 13:42:44,2271,SERVIZIO,2,0.5,1
CAFEZAL_PREMUDA,2023-12-31 13:42:44,1002,CAPPUCCINO OAT,1,2.5,2.5
CAFEZAL_PREMUDA,2023-12-31 13:42:44,2145,BRIOCHE CREMA CARCIOFI,1,5.5,5.5
CAFEZAL_PREMUDA,2023-12-31 13:42:44,2094,SPREMUTA,1,4.5,4.5
CAFEZAL_CSO_MAGENTA,2023-12-31 13:38:39,5269,MUFFIN,1,3,3
CAFEZAL_CSO_MAGENTA,2023-12-31 13:38:39,5158,CAPPUCCINO SINGLE ORIGIN,1,2,2
CAFEZAL_CSO_MAGENTA,2023-12-31 13:37:09,5059,COOKIE,1,3.5,3.5
CAFEZAL_CSO_MAGENTA,2023-12-31 13:37:09,5060,CROISSANT VUOTO,1,1.5,1.5
CAFEZAL_CSO_MAGENTA,2023-12-31 13:37:09,5176,FILTER 2 INDONESIA,1,6,6
CAFEZAL_CSO_MAGENTA,2023-12-31 13:37:09,5002,FLAT WHITE,1,3.8,3.8
CAFEZAL_PREMUDA,2023-12-31 13:37:00,2270,COPERTO,2,1.5,3
CAFEZAL_PREMUDA,2023-12-31 13:37:00,5347,THE CLASSIC BRUNCH,1,24,24
CAFEZAL_PREMUDA,2023-12-31 13:37:00,5348,AVOEGG BRUNCH,1,26,26
CAFEZAL_PREMUDA,2023-12-31 13:37:00,5392,IMMACULADA,1,29,29
CAFEZAL_PREMUDA,2023-12-31 13:37:00,2014,GARIBALDI,2,1.5,3
CAFEZAL_PREMUDA,2023-12-31 13:37:00,2092,"ACQUA NATURALE 0,5L MICROFILTER",2,0,0
CAFEZAL_SOLFERINO,2023-12-31 13:30:30,1202,FLAT WHITE SINGLE ORIGIN,1,4.5,4.5
CAFEZAL_SOLFERINO,2023-12-31 13:30:30,1133,BRIOCHE CREMA,1,2.8,2.8
CAFEZAL_SOLFERINO,2023-12-31 13:30:30,1090,CHEESECAKE,1,5,5
CAFEZAL_SOLFERINO,2023-12-31 13:30:30,1022,CAFFE LATTE,1,4,4
CAFEZAL_PREMUDA,2023-12-31 13:28:39,2001,CAPPUCCINO,1,2,2
CAFEZAL_PREMUDA,2023-12-31 13:28:39,2093,"ACQUA GASATA 0,5L MICROFILTER",1,0,0
CAFEZAL_PREMUDA,2023-12-31 13:28:39,2053,AMERICANO,1,2.5,2.5
CAFEZAL_PREMUDA,2023-12-31 13:28:39,2053,AMERICANO,1,0,0
CAFEZAL_PREMUDA,2023-12-31 13:28:39,5348,AVOEGG BRUNCH,1,24,24
CAFEZAL_PREMUDA,2023-12-31 13:28:39,5315,SCRAMBLED EGG TOAST,1,7,7
CAFEZAL_PREMUDA,2023-12-31 13:28:39,2270,COPERTO,2,1.5,3
CAFEZAL_SOLFERINO,2023-12-31 13:27:21,2001,CAPPUCCINO,1,2.5,2.5
CAFEZAL_SOLFERINO,2023-12-31 13:27:21,1053,AMERICANO,1,2.5,2.5
CAFEZAL_SOLFERINO,2023-12-31 13:27:21,1329,BOTTIGLIA ACQUA,1,1.8,1.8
CAFEZAL_PREMUDA,2023-12-31 13:24:29,2239,PROSECCO CALICE,1,9,9
CAFEZAL_PREMUDA,2023-12-31 13:24:29,2246,GRILLO CALICE,1,9,9
CAFEZAL_PREMUDA,2023-12-31 13:24:29,2271,SERVIZIO,2,0.5,1
CAFEZAL_PREMUDA,2023-12-31 13:24:29,2299,SWEET POTATO FRIES,1,6,6
CAFEZAL_PREMUDA,2023-12-31 13:22:08,5318,ACAI CREME,1,8,8
CAFEZAL_PREMUDA,2023-12-31 13:22:08,2270,COPERTO,2,1.5,3
CAFEZAL_PREMUDA,2023-12-31 13:22:08,2271,SERVIZIO,2,0.5,1
CAFEZAL_PREMUDA,2023-12-31 13:22:08,5316,SALMON AVO TOAST,1,9.5,9.5
CAFEZAL_PREMUDA,2023-12-31 13:22:08,5323,DELI-STYLE ROAST BEEF,1,14,14
CAFEZAL_PREMUDA,2023-12-31 13:22:08,2198,APEROL SPRITZ,2,8,16
CAFEZAL_PREMUDA,2023-12-31 13:22:08,2092,"ACQUA NATURALE 0,5L MICROFILTER",1,1.8,1.8
CAFEZAL_PREMUDA,2023-12-31 13:22:08,2014,GARIBALDI,2,1.5,3
CAFEZAL_SOLFERINO,2023-12-31 13:19:31,1003,FLAT WHITE,1,3.8,3.8
CAFEZAL_SOLFERINO,2023-12-31 13:19:31,5341,CASTANHA 250GR,1,16,16
CAFEZAL_SOLFERINO,2023-12-31 13:17:15,1002,CAPPUCCINO OAT,2,3,6
CAFEZAL_SOLFERINO,2023-12-31 13:17:15,2001,CAPPUCCINO,1,2.5,2.5
CAFEZAL_PREMUDA,2023-12-31 13:14:29,2139,BRIOCHE CIOCCO,1,2.5,2.5
CAFEZAL_PREMUDA,2023-12-31 13:14:29,2202,FLAT WHITE SINGLE ORIGIN,1,4.5,4.5
CAFEZAL_PREMUDA,2023-12-31 13:14:29,2270,COPERTO,1,1.5,1.5
CAFEZAL_PREMUDA,2023-12-31 13:14:29,2271,SERVIZIO,1,0.5,0.5
CAFEZAL_PREMUDA,2023-12-31 13:14:29,5314,CAFEZAL TOAST,1,7,7
CAFEZAL_PREMUDA,2023-12-31 13:14:29,2223,THE DAMMAN,2,5,10
CAFEZAL_SOLFERINO,2023-12-31 13:12:33,5368,FUNKY MONKEY FILTRO,2,6,12
CAFEZAL_PREMUDA,2023-12-31 12:59:16,2271,SERVIZIO,4,0.5,2
CAFEZAL_PREMUDA,2023-12-31 12:59:16,2271,SERVIZIO,1,2,2
CAFEZAL_PREMUDA,2023-12-31 12:59:16,5331,BRIOCHE SPECIALE,3,3,9
CAFEZAL_PREMUDA,2023-12-31 12:59:16,5367,FUNKY MONKEY 250GR,1,21,21
CAFEZAL_PREMUDA,2023-12-31 12:59:16,5396,SIRACUSA,1,5,5
CAFEZAL_PREMUDA,2023-12-31 12:59:16,1002,CAPPUCCINO OAT,2,2.5,5
CAFEZAL_PREMUDA,2023-12-31 12:59:16,2069,COOKIE,1,2.5,2.5
CAFEZAL_SOLFERINO,2023-12-31 12:59:11,5390,INTORE,1,14.5,14.5
CAFEZAL_SOLFERINO,2023-12-31 12:59:11,5367,FUNKY MONKEY 250GR,1,21,21
CAFEZAL_SOLFERINO,2023-12-31 12:59:11,5364,Sunset Tea 250G,1,19,19
CAFEZAL_SOLFERINO,2023-12-31 12:59:11,5341,CASTANHA 250GR,1,16,16
CAFEZAL_SOLFERINO,2023-12-31 12:59:11,5393,PEACE TRAIN 250G,1,28,28
CAFEZAL_SOLFERINO,2023-12-31 12:59:11,1060,COPACABANA 10 CAPSULE,1,6.5,6.5
CAFEZAL_SOLFERINO,2023-12-31 12:59:11,5391,SIRACUSA 250GR,1,22,22
CAFEZAL_SOLFERINO,2023-12-31 12:59:11,1067,BIG FIVE CAPSULE 10PZ,1,7,7
CAFEZAL_SOLFERINO,2023-12-31 12:56:33,5313,MIGNON,1,1.8,1.8
CAFEZAL_SOLFERINO,2023-12-31 12:56:33,1139,BRIOCHE CIOCCO NOCCIOLE,1,2.8,2.8
CAFEZAL_SOLFERINO,2023-12-31 12:56:33,2001,CAPPUCCINO,2,2.5,5
CAFEZAL_SOLFERINO,2023-12-31 12:56:11,1056,GARIBALDI 250GR,1,12.9,12.9
CAFEZAL_SOLFERINO,2023-12-31 12:54:07,1133,BRIOCHE CREMA,1,3,3
CAFEZAL_SOLFERINO,2023-12-31 12:54:07,2001,CAPPUCCINO,2,2.5,5
CAFEZAL_SOLFERINO,2023-12-31 12:42:55,2144,BRIOCHE AVOCADO E PICO,1,6,6
CAFEZAL_SOLFERINO,2023-12-31 12:42:55,1002,CAPPUCCINO OAT,2,3,6
CAFEZAL_SOLFERINO,2023-12-31 12:42:19,1002,CAPPUCCINO OAT,1,3,3
CAFEZAL_SOLFERINO,2023-12-31 12:42:19,1014,GARIBALDI,1,1.5,1.5
CAFEZAL_SOLFERINO,2023-12-31 12:42:19,1090,CHEESECAKE,1,5,5
CAFEZAL_SOLFERINO,2023-12-31 12:42:19,2001,CAPPUCCINO,1,2.5,2.5
CAFEZAL_SOLFERINO,2023-12-31 12:41:31,5394,PEACE TRAIN,1,6,6
CAFEZAL_SOLFERINO,2023-12-31 12:41:31,1067,BIG FIVE CAPSULE 10PZ,1,7,7
CAFEZAL_SOLFERINO,2023-12-31 12:41:31,1073,BANANA BREAD,1,4.5,4.5
CAFEZAL_SOLFERINO,2023-12-31 12:41:31,5391,SIRACUSA 250GR,2,22,44
CAFEZAL_SOLFERINO,2023-12-31 12:41:31,2346,MUFFIN,1,3.5,3.5
CAFEZAL_SOLFERINO,2023-12-31 12:41:31,5386,HOT CHOCOLATE,1,4,4
